subject,f-score,p-value,tmin,tmax
cs2i9p,69264.79793714048,0.01,0.198,1.0
e0q0kf,33465.25934653103,0.01,0.322,0.778
1r3qdv,1375.2299257076147,0.12,0.362,0.442
oucxs1,8380.321425089514,0.01,0.366,0.71
ihc3jn,2191.947572935366,0.1,0.714,0.806
gnnl7z,639.2419106644379,0.61,0.102,0.176
zx4v7q,6787.119859793244,0.01,0.482,0.634
cl3vh1,1455.7856058007158,0.09,0.65,0.732
u88rdo,26046.779709727627,0.01,0.206,1.0
topo6t,5451.319277259753,0.01,0.664,0.918
gml110,14798.375918532289,0.01,0.598,1.0
4q868v,13545.197142597255,0.01,0.658,1.0
5epwx8,13084.203950412957,0.01,0.452,0.792
8jhsvx,2030.1951139960404,0.03,0.28,0.384
03d3rc,6003.2754812071125,0.01,0.382,0.648
e3km75,13902.689762674447,0.01,0.58,1.0
l6e5vs,58267.51554543646,0.01,0.252,1.0
atz2ps,10155.963391821644,0.01,0.316,0.81
22ocyt,7611.206461543421,0.01,0.686,0.902
k9p0u7,12354.810402117246,0.01,0.376,0.864
8adzch,27195.50116745424,0.01,0.45,1.0
c93bxb,37233.83217878755,0.01,0.48,1.0
2ojf8e,34002.53288000812,0.01,0.364,0.734
t895pw,12414.052404503107,0.01,0.586,0.956
